"species","gid"
"Thelypteris_chocoensis",90269
"Thelypteris_christensenii",90270
"Thelypteris_chrysodioides",90271
"Thelypteris_cinerea",90272
"Thelypteris_clivalis",90273
"Thelypteris_clypeata",90274
"Thelypteris_cocleana",90275
"Thelypteris_concinna",90276
"Thelypteris_confluens",90277
"Thelypteris_consobrina",90278
"Thelypteris_conspersa",90279
"Thelypteris_corazonensis",90280
"Thelypteris_cordata",90281
"Thelypteris_cornuta",90282
"Thelypteris_crassipila",90283
"Thelypteris_crassiuscula",90284
"Thelypteris_crenata",90285
"Thelypteris_cretacea",90286
"Thelypteris_paucijuga",90399
"Thelypteris_pellita",90400
"Thelypodium_texanum",90264
"Thelypodium_wrightii",90265
"Thelypteris_croatii",90287
"Thelypteris_germaniana",90288
"Thelypteris_ghiesbreghtii",90289
"Thelypteris_gigantea",90290
"Thelypteris_glandulosa",90291
"Thelypteris_glaziovii",90292
"Thelypteris_goedenii",90293
"Thrasya_crucensis",90294
"Thelypteris_cumingiana",90295
"Thelypteris_curta",90296
"Thelypteris_deflexa",90299
"Thelypteris_delasotae",90300
"Thelypteris_demerarana",90301
"Thelypteris_demissa",90302
"Thelypteris_desvauxii",90303
"Thelypteris_dissimulans",90304
"Thelypteris_eggersii",90305
"Thelypteris_eichlora",90306
"Thelypteris_montana",90371
"Thelypteris_ensiformis",90307
"Thelypteris_equitans",90308
"Thelypteris_eriosora",90309
"Thelypteris_euchlora",90310
"Thelypteris_euthythrix",90311
"Thelypteris_exuta",90312
"Thelypteris_fadenii",90313
"Thelypteris_falcata",90314
"Thelypteris_fluminalis",90315
"Thelypteris_francoana",90316
"Thelypteris_fraseri",90317
"Thelypteris_frigida",90318
"Thelypteris_funckii",90319
"Thelypteris_furfuracea",90320
"Thelypteris_furva",90321
"Thelypteris_gardneriana",90322
"Thelypteris_gemmulifera",90323
"Thelypteris_quelpaertensis",90324
"Thelypteris_gomeziana",90325
"Thelypteris_grandis",90326
"Thelypteris_grayumii",90327
"Thelypteris_guadalupensis",90328
"Thelypteris_hatschbachii",90329
"Thelypteris_hispidula",90330
"Thelypteris_hondurensis",90331
"Thelypteris_hutchisonii",90332
"Thelypteris_imbricata",90333
"Thelypteris_inaequans",90334
"Thelypteris_invisa",90335
"Thelypteris_jarucoensis",90336
"Thelypteris_jimenezii",90337
"Thelypteris_jujuyensis",90338
"Thelypteris_kunthii",90339
"Thelypteris_lancea",90340
"Thelypteris_lanosa",90341
"Thelypteris_leoniae",90342
"Thelypteris_leonina",90343
"Thelypteris_leprieurii",90344
"Thelypteris_leptocladia",90345
"Thelypteris_limbosperma",90346
"Thelypteris_raddii",90347
"Thuidium_scitum",90348
"Thelypteris_lindigii",90349
"Thelypteris_lingulata",90350
"Thelypteris_longicaulis",90351
"Thelypteris_longifolia",90352
"Thelypteris_longipilosa",90353
"Thelypteris_loretensis",90354
"Thelypteris_lugubriformis",90355
"Thelypteris_lumbricoides",90356
"Thelypteris_macrophylla",90357
"Thelypteris_madidiensis",90358
"Thelypteris_maxoniana",90359
"Thelypteris_melanochlaena",90360
"Thelypteris_membranacea",90361
"Thelypteris_meniscioides",90362
"Thelypteris_mertensioides",90363
"Thelypteris_metteniana",90364
"Thelypteris_mexiae",90365
"Thelypteris_minima",90366
"Thelypteris_minor",90367
"Thelypteris_minutissima",90368
"Thelypteris_minutula",90369
"Thelypteris_monosora",90370
"Thelypteris_muzensis",90373
"Thelypteris_nana",90374
"Thelypteris_nephelium",90375
"Thelypteris_nephrodioides",90376
"Thelypteris_nevadensis",90377
"Thelypteris_nicaraguensis",90378
"Thelypteris_nitens",90379
"Thelypteris_normalis",90380
"Thelypteris_novaeana",90381
"Thelypteris_noveboracensis",90382
"Thelypteris_nubicola",90383
"Thyrsanthemum_floribundum",90384
"Thelypteris_nubigena",90385
"Thelypteris_oaxacana",90386
"Thelypteris_obliterata",90387
"Thelypteris_oligocarpa",90388
"Thelypteris_opposita",90389
"Thelypteris_oroniensis",90390
"Thelypteris_ovata",90391
"Thelypteris_oviedoae",90392
"Thelypteris_pachyrhachis",90393
